prodcode,dmdcode,bnfcode,cprd_name,productname,drugsubstance,strength,formulation,route,snomed_code,dm_d_product_description,bnf_name
48852,NA,NA,veil toning lotion and skin freshener (thomas blake cosmetic creams ltd),NA,NA,NA,NA,NA,NA,NA,NA
36656,248295001000027100,NA,qv skin lotion (crawford healthcare ltd),QV Skin lotion (Crawford Healthcare Ltd),White soft paraffin,50mg/1gram,Liquid,Cutaneous,NA,NA,NA
6517,331532001,1302010U0AAAMAM,urea 10% lotion,Urea 10% lotion,Urea,100mg/1gram,Liquid,Cutaneous,331532001,Urea 10% lotion,Urea 10% lotion
34341,54105001000027104,NA,lanolin vehicle (thornton & ross ltd),Lanolin Vehicle (Thornton & Ross Ltd),Magnesium sulfate dried/Phenoxyethanol/Wool alcohols ointment,5mg/1gram + 10mg/1gram + 500mg/1gram,Ointment,Cutaneous,NA,NA,NA
48476,NA,NA,aveeno moisturising creamy oil (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
49391,NA,NA,flexitol very dry skin 12.50% cream (laderma health (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
73609,NA,NA,a-derma exomega emollient cream (pierre fabre dermo-cosmetique),NA,NA,NA,NA,NA,NA,NA,NA
9417,NA,NA,oily cream,NA,NA,NA,NA,NA,NA,NA,NA
37891,3710411000001100,1302010U0BGACAM,eucerin intensive 10% lotion (beiersdorf uk ltd),Eucerin Intensive 10% lotion (Beiersdorf UK Ltd),Urea,100mg/1gram,Liquid,Cutaneous,3710411000001100,Eucerin Intensive 10% lotion (Beiersdorf UK Ltd),Eucerin Intensive 10% lotion
7345,2962611000001103,21220000233,cetraben emollient cream (thornton & ross ltd),Cetraben cream (Thornton & Ross Ltd),White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,2962611000001103,Cetraben cream (Thornton & Ross Ltd),Cetraben cream
56357,NA,NA,emulsifying ointment in water 12% (huddersfield royal infirmary),NA,NA,NA,NA,NA,NA,NA,NA
58872,NA,NA,elena's body lotion (elena's nature collection ltd),NA,NA,NA,NA,NA,NA,NA,NA
39424,3805711000001100,130201000AABXBX,glycerol 40% cream,Glycerol 40% cream,Glycerol,400mg/1gram,Cream,Cutaneous,3805711000001100,Glycerol 40% cream,Glycerol 40% cream
41618,5885001000027105,NA,aqueous cream (celltech pharma europe ltd),Aqueous Cream (Celltech Pharma Europe Ltd),Emulsifying wax/White soft paraffin/Liquid paraffin/Phenoxyethanol/Purified water,90mg/1gram + 150mg/1gram + 60mg/1gram + 10mg/1gram + 690mg/1gram,Cream,Cutaneous,NA,NA,NA
29910,NA,NA,e45 150ml cream (crookes healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
73472,NA,NA,vaseline dermacare 200ml cream (elida faberge),NA,NA,NA,NA,NA,NA,NA,NA
66145,NA,NA,dermasalve body cream (dermasalve ltd),NA,NA,NA,NA,NA,NA,NA,NA
59324,23463811000001100,21220000230,zerodouble gel (thornton & ross ltd),Zerodouble gel (Thornton & Ross Ltd),Isopropyl myristate/Liquid paraffin,150mg/1gram + 150mg/1gram,Gel,Cutaneous,23463811000001100,Zerodouble gel (Thornton & Ross Ltd),Zerodouble gel
6880,NA,NA,emollient with hypoallergenic lanolin and hydroxybenzoates cream,NA,NA,NA,NA,NA,NA,NA,NA
47649,NA,NA,vaseline dermacare 100ml cream (elida faberge),NA,NA,NA,NA,NA,NA,NA,NA
9959,236845001000027100,NA,eumobase cream (glaxosmithkline consumer healthcare),Eumobase Cream (GlaxoSmithKline Consumer Healthcare),Glycerol,250mg/1gram,Cream,Cutaneous,NA,NA,NA
1032,3699611000001103,1302010N0BFAAAC,dermamist 10% spray (alliance pharmaceuticals ltd),Dermamist 10% spray (Alliance Pharmaceuticals Ltd),White soft paraffin,100mg/1gram,Spray,Cutaneous,3699611000001103,Dermamist 10% spray (Alliance Pharmaceuticals Ltd),Dermamist 10% spray
63808,NA,NA,avene xeracalm a.d lipid-replenishing cleansing oil (pierre fabre dermo-cosmetique),NA,NA,NA,NA,NA,NA,NA,NA
43364,NA,NA,evolve plus emollient spray (intelligent therapeutics ltd),NA,NA,NA,NA,NA,NA,NA,NA
56402,NA,NA,zeroguent cream (zeroderma ltd),NA,NA,NA,NA,NA,NA,NA,NA
68706,33571211000001100,NA,aproderm gel (fontus health ltd),AproDerm gel (Fontus Health Ltd),Isopropyl myristate/Liquid paraffin,150mg/1gram + 150mg/1gram,Gel,Cutaneous,NA,NA,NA
6352,2885711000001106,1302010N0BDAAAA,vaseline pure petroleum jelly (unilever uk home & personal care),Vaseline Pure Petroleum jelly (Unilever UK Home & Personal Care),White soft paraffin,1mg/1mg,Ointment,Cutaneous,2885711000001106,Vaseline Pure Petroleum jelly (Unilever UK Home & Personal Care),Vaseline Pure Petroleum jelly
70285,NA,NA,elave shower gel (ovelle pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
23154,NA,NA,essential fatty acids esterified cream,NA,NA,NA,NA,NA,NA,NA,NA
22362,NA,NA,emollient with chlorocresol formular 2 cream,NA,NA,NA,NA,NA,NA,NA,NA
1356,2900811000001101,1302010U0BCAAAE,calmurid cream (galderma (uk) ltd),Calmurid cream (Galderma (UK) Ltd),Urea/Lactic acid,100mg/1gram + 50mg/1gram,Cream,Cutaneous,2900811000001101,Calmurid cream (Galderma (UK) Ltd),Calmurid cream
31042,212525001000027100,NA,cetraben 5%+4% wash (sankyo pharma uk ltd),Cetraben 5%+4% Wash (Sankyo Pharma UK Ltd),Liquid Paraffin/White Soft Paraffin,5%+4%,Wash,Topical,NA,NA,NA
44104,261375001000027100,NA,white soft paraffin 8% with light liquid paraffin 3% lotion,White soft paraffin 8% with light liquid paraffin 3% lotion,White Soft Paraffin/Liquid Paraffin Light,8% + 3%,Lotion,Topical,NA,NA,NA
43993,11782611000001106,21220000210,qv cream (crawford healthcare ltd),QV cream (Crawford Healthcare Ltd),Glycerol/Liquid paraffin light/White soft paraffin,100mg/1gram + 100mg/1gram + 50mg/1gram,Cream,Cutaneous,11782611000001106,QV cream (Ego Pharmaceuticals),QV cream
17982,NA,NA,proderm dry irritated skin dermatological mousse (chefaro uk ltd),NA,NA,NA,NA,NA,NA,NA,NA
6104,2993311000001101,130201000BBKKCD,oilatum junior cream (glaxosmithkline consumer healthcare),Oilatum Junior cream (GlaxoSmithKline Consumer Healthcare),White soft paraffin/Liquid paraffin light,150mg/1gram + 60mg/1gram,Cream,Cutaneous,2993311000001101,Oilatum Junior cream (Thornton & Ross Ltd),Oilatum Junior cream
64326,NA,NA,skin salvation daily moisturising cream (balmonds skincare ltd),NA,NA,NA,NA,NA,NA,NA,NA
62808,NA,NA,generic ultrabase cream,NA,NA,NA,NA,NA,NA,NA,NA
7568,151775001000027100,NA,humiderm 5% cream (convatec ltd),Humiderm 5% Cream (ConvaTec Ltd),Sodium Pidolate,5%,Cream,Topical,NA,NA,NA
6428,2965511000001108,1302010U0BGADAF,eucerin intensive 10% cream (beiersdorf uk ltd),Eucerin Intensive 10% cream (Beiersdorf UK Ltd),Urea,100mg/1gram,Cream,Cutaneous,2965511000001108,Eucerin Intensive 10% cream (Beiersdorf UK Ltd),Eucerin Intensive 10% cream
54507,NA,NA,generic unguentum m cream,NA,NA,NA,NA,NA,NA,NA,NA
44002,11781711000001108,NA,qv 5% skin lotion (crawford healthcare ltd),QV 5% skin lotion (Crawford Healthcare Ltd),White soft paraffin,50mg/1gram,Liquid,Cutaneous,NA,NA,NA
67210,NA,NA,elave body oil (ovelle pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
47577,4217011000001100,190400000AATUTU,glycerol liquid (thornton & ross ltd),Glycerol liquid (Thornton & Ross Ltd),Glycerol,1ml/1ml,Liquid,Cutaneous/Oral,4217011000001100,Glycerol liquid (Thornton & Ross Ltd),Glycerol liquid
75859,NA,NA,aveeno cream (waymade healthcare plc),NA,NA,NA,NA,NA,NA,NA,NA
36841,NA,NA,emollin aerosol spray (c d medical ltd),NA,NA,NA,NA,NA,NA,NA,NA
48596,NA,NA,aveeno cream (de pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
67235,10851611000001100,NA,diprobase ointment (waymade healthcare plc),Diprobase ointment (Waymade Healthcare Plc),White soft paraffin/Liquid paraffin,950mg/1gram + 50mg/1gram,Ointment,Cutaneous,10851611000001100,Diprobase ointment (Waymade Healthcare Plc),NA
74373,NA,NA,eucerin acute 5% lip balm (beiersdorf uk ltd),NA,NA,NA,NA,NA,NA,NA,NA
4525,331522008,1302010U0AAAFAF,urea 10% cream,Urea 10% cream,Urea,100mg/1gram,Cream,Cutaneous,331522008,Urea 10% cream,Urea 10% cream
14447,14613811000001102,1301010D0AAABAB,cetomacrogol cream (formula b),Cetomacrogol cream (Formula B),White soft paraffin/Cetostearyl alcohol/Macrogol cetostearyl ether 22/Liquid paraffin/Thiomersal/Propyl hydroxybenzoate/Methyl hydroxybenzoate/Purified water,150mg/1gram + 72mg/1gram + 18mg/1gram + 60mg/1gram + 20microgram/1gram + 800microgram/1gram + 1.5mg/1gram + 697.68mg/1gram,Cream,Cutaneous,14613811000001102,Cetomacrogol cream (Formula B),Cetomacrogol cream (Formula B)
18145,NA,NA,emollient with hypoallergenic lanolin and hydroxybenzoates lotion,NA,NA,NA,NA,NA,NA,NA,NA
46585,NA,NA,wool fat aerosol spray,NA,NA,NA,NA,NA,NA,NA,NA
18866,NA,NA,"liquid paraffin with benzalkonium, chlorhexidine and isopropyl myristate cream",NA,NA,NA,NA,NA,NA,NA,NA
42154,16250811000001108,NA,hydromol intensive 10% cream (alliance pharmaceuticals ltd),Hydromol Intensive 10% cream (Alliance Pharmaceuticals Ltd),Urea,100mg/1gram,Cream,Cutaneous,NA,NA,NA
39379,NA,NA,emollient body wash,NA,NA,NA,NA,NA,NA,NA,NA
21728,9410011000001100,NA,wool fat ointment,Wool fat ointment,Wool fat,1mg/1mg,Ointment,Cutaneous,NA,NA,NA
71954,NA,NA,elave hand wash (ovelle pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
2990,NA,NA,masse cream (janssen-cilag ltd),NA,NA,NA,NA,NA,NA,NA,NA
24406,NA,NA,imuderm wash (goldshield pharmaceuticals ltd),NA,NA,NA,NA,NA,NA,NA,NA
18190,4246211000001100,1302010U0AAAKAK,urea 5% cream,Urea 5% cream,Urea,50mg/1gram,Cream,Cutaneous,4246211000001100,Urea 5% cream,Urea 5% cream
492,2985111000001101,130201000BBJPCD,oilatum cream (glaxosmithkline consumer healthcare),Oilatum cream (GlaxoSmithKline Consumer Healthcare),White soft paraffin/Liquid paraffin light,150mg/1gram + 60mg/1gram,Cream,Cutaneous,2985111000001101,Oilatum cream (Thornton & Ross Ltd),Oilatum cream
44513,7646611000001106,21220000214,zerobase 11% cream (thornton & ross ltd),Zerobase 11% cream (Thornton & Ross Ltd),Liquid paraffin,110mg/1gram,Cream,Cutaneous,7646611000001106,Zerobase 11% cream (Thornton & Ross Ltd),Zerobase 11% cream
5520,3641211000001108,130201000BBJGCA,doublebase gel (dermal laboratories ltd),Doublebase gel (Dermal Laboratories Ltd),Isopropyl myristate/Liquid paraffin,150mg/1gram + 150mg/1gram,Gel,Cutaneous,3641211000001108,Doublebase gel (Dermal Laboratories Ltd),Doublebase gel
65289,NA,NA,tena 3 in 1 wash cream (sca hygiene products uk ltd),NA,NA,NA,NA,NA,NA,NA,NA
44922,305645001000027140,NA,zerobase cream (thornton & ross ltd),Zerobase Cream (Thornton & Ross Ltd),Liquid paraffin,110mg/1gram,Cream,Cutaneous,NA,NA,NA
74559,NA,NA,childs farm unfragranced moisturising cream (childs farm),NA,NA,NA,NA,NA,NA,NA,NA
46596,19380211000001104,NA,doublebase dayleve gel (dermal laboratories ltd),Doublebase Dayleve gel (Dermal Laboratories Ltd),Isopropyl myristate/Liquid paraffin,150mg/1gram + 150mg/1gram,Gel,Cutaneous,NA,NA,NA
53163,13627611000001104,NA,white soft paraffin solid (pinewood healthcare),White soft paraffin solid (Pinewood Healthcare),White soft paraffin,1mg/1mg,Ointment,Cutaneous,NA,NA,NA
78673,NA,NA,exmabase gel (ascot laboratories ltd),NA,NA,NA,NA,NA,NA,NA,NA
1976,212505001000027100,NA,cetraben 13.2%+10.5% cream (sankyo pharma uk ltd),Cetraben 13.2%+10.5% Cream (Sankyo Pharma UK Ltd),White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,NA,NA,NA
25882,NA,NA,urea with cetrimide and chlorocresol and demethicone cream,NA,NA,NA,NA,NA,NA,NA,NA
63499,24668011000001104,NA,balneum plus cream (waymade healthcare plc),Balneum Plus cream (Waymade Healthcare Plc),Urea/Lauromacrogols,50mg/1gram + 30mg/1gram,Cream,Cutaneous,24668011000001104,Balneum Plus cream (Waymade Healthcare Plc),NA
31915,NA,NA,emollient shower cream,NA,NA,NA,NA,NA,NA,NA,NA
46598,NA,NA,"liquid paraffin with benzalkonium, chlorhexidine and isopropyl myristate emulsion",NA,NA,NA,NA,NA,NA,NA,NA
38119,NA,NA,vaseline dermacare 500ml lotion (elida faberge),NA,NA,NA,NA,NA,NA,NA,NA
37976,12425001000027108,NA,emulsifying ointment (c p pharmaceuticals ltd),Emulsifying Ointment (C P Pharmaceuticals Ltd),Emulsifying wax/White soft paraffin/Liquid paraffin,300mg/1gram + 500mg/1gram + 200mg/1gram,Ointment,Cutaneous,NA,NA,NA
49988,NA,NA,aveeno lotion (mawdsley-brooks & company ltd),NA,NA,NA,NA,NA,NA,NA,NA
64238,17663311000001100,1302010U0AAAVAV,urea 25% ointment,Urea 25% ointment,Urea,250mg/1gram,Ointment,Cutaneous,17663311000001100,Urea 25% ointment,Urea 25% ointment
38387,250555001000027100,NA,propylene glycol 20% in aqueous cream,Propylene glycol 20% in aqueous cream,Propylene Glycol,20%,Cream,Topical,NA,NA,NA
46190,NA,NA,cetaphil moisturising cream (galderma (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
17310,NA,NA,vaseline dermacare lotion (elida faberge),NA,NA,NA,NA,NA,NA,NA,NA
23150,NA,NA,deionised water with glycerin with benzyl alcohol cream,NA,NA,NA,NA,NA,NA,NA,NA
75712,NA,NA,liquid paraffin with glycerin and other ingredients spray,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,diprobase cream (merck sharp & dohme ltd),NA,NA,NA,NA,NA,NA,NA,NA
5041,NA,NA,unguentum m cream (almirall ltd),NA,NA,NA,NA,NA,NA,NA,NA
18281,3701411000001106,1302010N0AAACAC,white soft paraffin 10% spray,White soft paraffin 10% spray,White soft paraffin,100mg/1gram,Spray,Cutaneous,3701411000001106,White soft paraffin 10% spray,White soft paraffin 10% spray
60614,NA,NA,aveeno skin relief moisturising lotion with menthol (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
46825,NA,NA,aquamax wash (dermato logical ltd),NA,NA,NA,NA,NA,NA,NA,NA
45841,172055001000027100,NA,macrogol ointment (manufacturer unknown),Macrogol Ointment (Manufacturer unknown),Magnesium sulfate dried/Phenoxyethanol/Wool alcohols ointment,5mg/1gram + 10mg/1gram + 500mg/1gram,Ointment,Cutaneous,NA,NA,NA
12310,NA,NA,balmandol bath additive (smith & nephew healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
54382,NA,NA,clinisan emollient wash cream (synergy health plc),NA,NA,NA,NA,NA,NA,NA,NA
79771,NA,NA,generic zeroveen cream,NA,NA,NA,NA,NA,NA,NA,NA
40286,14743111000001106,21220000215,white soft paraffin 14.5% / liquid paraffin 12.6% cream,White soft paraffin 14.5% / Liquid paraffin 12.6% cream,Liquid paraffin/White soft paraffin,126mg/1gram + 145mg/1gram,Cream,Cutaneous,14743111000001106,White soft paraffin 14.5% / Liquid paraffin 12.6% cream,Zerocream
36814,248255001000027100,NA,light liquid paraffin with glycerol and white soft paraffin 10% with 10% with 5% cream,Light liquid paraffin with glycerol and white soft paraffin 10% with 10% with 5% cream,Glycerol/White Soft Paraffin/Liquid Paraffin Light,10% + 10% + 5%,Cream,Topical,NA,NA,NA
57193,NA,NA,elena's day cream special and night cream extra (elena's nature collection ltd),NA,NA,NA,NA,NA,NA,NA,NA
9849,228325001000027100,NA,eucerin intensive treatment cream (beiersdorf uk ltd),Eucerin intensive treatment Cream (Beiersdorf UK Ltd),Urea,100mg/1gram,Liquid,Cutaneous,NA,NA,NA
60519,NA,NA,aveeno daily moisturising lotion (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
53905,NA,NA,oilatum natural repair cream (glaxosmithkline consumer healthcare),NA,NA,NA,NA,NA,NA,NA,NA
81198,NA,NA,cuderm moisturising cream (synergy biologics ltd),NA,NA,NA,NA,NA,NA,NA,NA
73404,NA,NA,generic adex gel,NA,NA,NA,NA,NA,NA,NA,NA
30226,NA,NA,e45 150ml wash (crookes healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
7119,NA,NA,hydromol ointment (alliance pharmaceuticals ltd),NA,NA,NA,NA,NA,NA,NA,NA
37065,12791411000001104,NA,eumocream 25% cream (glaxosmithkline consumer healthcare),Eumocream 25% cream (GlaxoSmithKline Consumer Healthcare),Glycerol,250mg/1gram,Cream,Cutaneous,NA,NA,NA
61119,NA,NA,elena's ultimate body oil liquid (elena's nature collection ltd),NA,NA,NA,NA,NA,NA,NA,NA
78446,NA,NA,exmaben cream (ascot laboratories ltd),NA,NA,NA,NA,NA,NA,NA,NA
14628,400760005,130201000AAA3A3,white soft paraffin 95% / liquid paraffin 5% ointment,White soft paraffin 95% / Liquid paraffin 5% ointment,White soft paraffin/Liquid paraffin,950mg/1gram + 50mg/1gram,Ointment,Cutaneous,400760005,White soft paraffin 95% / Liquid paraffin 5% ointment,White soft paraffin 95% / Liquid paraffin 5% ointment
46824,NA,NA,aquamax cream (dermato logical ltd),NA,NA,NA,NA,NA,NA,NA,NA
69088,28487311000001104,21220000246,soffen cream (vitame ltd),Soffen cream (Vitame Ltd),White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,28487311000001104,Soffen cream (Vitame Ltd),Soffen cream
8272,212545001000027100,NA,liquid paraffin 90% bath oil,liquid paraffin 90% bath oil,Liquid Paraffin,90%,Bath Oil,Topical,NA,NA,NA
57520,15620411000001108,NA,cetraben emollient cream (waymade healthcare plc),Cetraben emollient cream (Waymade Healthcare Plc),White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,15620411000001108,Cetraben emollient cream (Waymade Healthcare Plc),NA
11894,331524009,1302010U0AAANAN,urea 5% / lauromacrogols 3% cream,Urea 5% / Lauromacrogols 3% cream,Urea/Lauromacrogols,50mg/1gram + 30mg/1gram,Cream,Cutaneous,331524009,Urea 5% / Lauromacrogols 3% cream,Urea 5% / Lauromacrogols 3% cream
62366,NA,NA,generic emollin aerosol spray,NA,NA,NA,NA,NA,NA,NA,NA
36725,NA,NA,qv cream (crawford healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
70056,30077411000001108,NA,urea 40% ointment,Urea 40% ointment,Urea,400mg/1gram,Ointment,Cutaneous,30077411000001108,Urea 40% ointment,NA
70499,NA,NA,zeroveen cream (thornton & ross ltd),NA,NA,NA,NA,NA,NA,NA,NA
32627,NA,NA,unguentum merck crookes cream (crookes healthcare ltd),NA,NA,NA,NA,NA,NA,NA,NA
3158,NA,NA,epaderm ointment (medlock medical),NA,NA,NA,NA,NA,NA,NA,NA
58075,NA,NA,generic aveeno cream,NA,NA,NA,NA,NA,NA,NA,NA
34236,NA,NA,emollient lotion,NA,NA,NA,NA,NA,NA,NA,NA
72238,NA,NA,udderly smooth extra care cream with 10% urea (glanford ltd),NA,NA,NA,NA,NA,NA,NA,NA
44547,NA,NA,tannic acid with menthol & phenol cream,NA,NA,NA,NA,NA,NA,NA,NA
70437,NA,NA,dermatonics dry skin balm (dermatonics ltd),NA,NA,NA,NA,NA,NA,NA,NA
61214,NA,NA,aveeno daily moisturising lotion with lavender (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
37564,12797711000001100,130201000AACLCL,glycerol 25% cream,Glycerol 25% cream,Glycerol,250mg/1gram,Cream,Cutaneous,12797711000001100,Glycerol 25% cream,Glycerol 25% cream
37263,NA,NA,vaseline intensive care essential moisture lotion (unilever uk home & personal care),NA,NA,NA,NA,NA,NA,NA,NA
61420,NA,NA,generic qv gentle wash,NA,NA,NA,NA,NA,NA,NA,NA
61528,NA,NA,generic diprobase cream,NA,NA,NA,NA,NA,NA,NA,NA
67082,NA,NA,aproderm colloidal oat cream (fontus health ltd),NA,NA,NA,NA,NA,NA,NA,NA
44368,257535001000027100,NA,zerocream cream (zeroderma ltd),Zerocream Cream (Zeroderma Ltd),Liquid paraffin/White soft paraffin,126mg/1gram + 145mg/1gram,Cream,Cutaneous,NA,NA,NA
68326,NA,NA,e45 derma protect fast acting 24h moisturiser spray (reckitt benckiser healthcare (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
15297,4232411000001103,1302010U0BGAAAK,eucerin dry skin relief 5% cream with urea (beiersdorf uk ltd),Eucerin Dry Skin Relief 5% cream with urea (Beiersdorf UK Ltd),Urea,50mg/1gram,Cream,Cutaneous,4232411000001103,Eucerin Dry Skin Relief 5% cream (Beiersdorf UK Ltd),Eucerin Dry Skin Relief 5% cream
54011,11787811000001108,21220000210,generic qv cream,Generic QV cream,Glycerol/Liquid paraffin light/White soft paraffin,100mg/1gram + 100mg/1gram + 50mg/1gram,Cream,Cutaneous,11787811000001108,Generic QV cream,QV cream
44933,14734011000001106,21220000215,zerocream (thornton & ross ltd),Zerocream (Thornton & Ross Ltd),Liquid paraffin/White soft paraffin,126mg/1gram + 145mg/1gram,Cream,Cutaneous,14734011000001106,Zerocream (Thornton & Ross Ltd),Zerocream
30326,162895001000027100,NA,sodium pidolate 5% cream,Sodium pidolate 5% cream,Sodium Pidolate,5%,Cream,Topical,NA,NA,NA
6361,3376211000001105,130201000AACFCF,white soft paraffin 13.2% / liquid paraffin light 10.5% cream,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream,White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,3376211000001105,White soft paraffin 13.2% / Liquid paraffin light 10.5% cream,White soft paraffin 13.2% /Liquid paraffin light 10.5% cream
6247,2933811000001102,1302010U0BJAAAN,e45 itch relief cream (forum health products ltd),E45 Itch Relief cream (Forum Health Products Ltd),Urea/Lauromacrogols,50mg/1gram + 30mg/1gram,Cream,Cutaneous,2933811000001102,E45 Itch Relief cream (Forum Health Products Ltd),E45 Itch Relief cream
46779,NA,NA,skin moisturiser (skinkind ltd),NA,NA,NA,NA,NA,NA,NA,NA
3425,2963411000001105,21220000278,aquadrate 10% cream (alliance pharmaceuticals ltd),Aquadrate 10% cream (Alliance Pharmaceuticals Ltd),Urea,100mg/1gram,Cream,Cutaneous,2963411000001105,Aquadrate 10% cream (Alliance Pharmaceuticals Ltd),Aquadrate 10% cream
32561,58225001000027104,NA,emulsifying ointment (depuy healthcare),Emulsifying Ointment (Depuy Healthcare),Emulsifying wax/White soft paraffin/Liquid paraffin,300mg/1gram + 500mg/1gram + 200mg/1gram,Ointment,Cutaneous,NA,NA,NA
77826,NA,NA,ovelle petroleum jelly white (ovelle pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
71252,NA,NA,adex gel (dermal laboratories ltd),NA,NA,NA,NA,NA,NA,NA,NA
32260,2876211000001104,1302010N0AAAAAA,white soft paraffin solid (teva uk ltd),White soft paraffin solid (Teva UK Ltd),White soft paraffin,1mg/1mg,Ointment,Cutaneous,2876211000001104,White soft paraffin solid (Teva UK Ltd),White soft paraffin solid
41741,56975001000027104,NA,aqueous cream (depuy healthcare),Aqueous Cream (Depuy Healthcare),Emulsifying wax/White soft paraffin/Liquid paraffin/Phenoxyethanol/Purified water,90mg/1gram + 150mg/1gram + 60mg/1gram + 10mg/1gram + 690mg/1gram,Cream,Cutaneous,NA,NA,NA
4761,4217811000001106,190400000AATUTU,glycerol liquid,Glycerol liquid,Glycerol,1ml/1ml,Liquid,Cutaneous/Oral,4217811000001106,Glycerol liquid,Glycerol liquid
17285,212515001000027100,NA,cetraben 90% bath additive (sankyo pharma uk ltd),Cetraben 90% Bath additive (Sankyo Pharma UK Ltd),Liquid Paraffin,90%,Bath Additive,Topical,NA,NA,NA
68662,NA,NA,aproderm gel (fontus health ltd),NA,NA,NA,NA,NA,NA,NA,NA
65887,NA,NA,aproderm emollient cream (fontus health ltd),NA,NA,NA,NA,NA,NA,NA,NA
43604,NA,NA,ultrabase cream (derma uk ltd),NA,NA,NA,NA,NA,NA,NA,NA
65608,NA,NA,generic aveeno moisturising creamy oil,NA,NA,NA,NA,NA,NA,NA,NA
77721,NA,NA,cuderm moisturising lotion (synergy biologics ltd),NA,NA,NA,NA,NA,NA,NA,NA
62390,NA,NA,r2 lotion 1g sachets (water-jel europe llp),NA,NA,NA,NA,NA,NA,NA,NA
69144,22780011000001104,NA,enopen cream (ennogen healthcare ltd),Enopen cream (Ennogen Healthcare Ltd),White soft paraffin/Liquid paraffin light,132mg/1gram + 105mg/1gram,Cream,Cutaneous,NA,NA,NA
63564,NA,NA,generic cetraben lotion,NA,NA,NA,NA,NA,NA,NA,NA
18896,NA,NA,eucerin dry skin relief soothing spray (beiersdorf uk ltd),NA,NA,NA,NA,NA,NA,NA,NA
7355,7661111000001104,21220000214,liquid paraffin 11% cream,Liquid paraffin 11% cream,Liquid paraffin,110mg/1gram,Cream,Cutaneous,7661111000001104,Liquid paraffin 11% cream,Zerobase 11% cream
32574,91715001000027100,NA,white soft paraffin + 50%+50% ointment (j m loveridge ltd),White soft paraffin + 50%+50% Ointment (J M Loveridge Ltd),Liquid paraffin/White soft paraffin,500mg/1gram + 500mg/1gram,Ointment,Cutaneous,NA,NA,NA
65070,NA,NA,elave intensive cream (ovelle pharmaceuticals),NA,NA,NA,NA,NA,NA,NA,NA
59738,NA,NA,cetraben lotion (genus pharmaceuticals ltd),NA,NA,NA,NA,NA,NA,NA,NA
69698,NA,NA,dermasalve baby & infant cream (dermasalve ltd),NA,NA,NA,NA,NA,NA,NA,NA
6003,305475001000027100,NA,emulsifying wax with yellow soft paraffin,Emulsifying wax with yellow soft paraffin,Liquid Paraffin/Emulsifying Wax/Yellow Soft Paraffin,30% + 30%,Ointment,Topical,NA,NA,NA
38772,NA,NA,dexeryl cream (pierre fabre dermo-cosmetique),NA,NA,NA,NA,NA,NA,NA,NA
2568,NA,NA,e45 cream (reckitt benckiser healthcare (uk) ltd),NA,NA,NA,NA,NA,NA,NA,NA
16288,NA,NA,paraffin & wool fat with cetostearyl alcohol,NA,NA,NA,NA,NA,NA,NA,NA
4899,NA,NA,aveeno cream (johnson & johnson ltd),NA,NA,NA,NA,NA,NA,NA,NA
24080,4216511000001106,190400000AATUTU,glycerol liquid (j m loveridge ltd),Glycerol liquid (J M Loveridge Ltd),Glycerol,1ml/1ml,Liquid,Cutaneous/Oral,4216511000001106,Glycerol liquid (J M Loveridge Ltd),Glycerol liquid
47861,2875511000001108,1302010N0AAAAAA,white soft paraffin solid (a a h pharmaceuticals ltd),White soft paraffin solid (A A H Pharmaceuticals Ltd),White soft paraffin,1mg/1mg,Ointment,Cutaneous,2875511000001108,White soft paraffin solid (A A H Pharmaceuticals Ltd),White soft paraffin solid
22818,NA,NA,white soft paraffin with coconut oil & glycerol cream,NA,NA,NA,NA,NA,NA,NA,NA
44201,NA,NA,evolve plus spray (intelligent therapeutics ltd),NA,NA,NA,NA,NA,NA,NA,NA
11485,NA,NA,dimeticone with benzyl alcohol cream,NA,NA,NA,NA,NA,NA,NA,NA
